step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world,sv_control_scheme,target_control_scheme,sv_controller_type,sv_controller_config,sv_fast_controller_enabled
11,"[2, 10]","[-147.26170349121094, 189.1163330078125]","[20, 20]","[-100.0, 100.0]","[-99.88192749023438, 99.93701934814453, 0.16514170169830322]","[20, 20]",10,0.15412813195259759,"[[2, 10], [2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 11]","[-145.0, 190.0]","[-147.26170349121094, 189.1163330078125, 0.16868390142917633]","[2, 11]",True,False,61,2.4282030465423285,0,0,0,[False],[63],0.9999999999999998,1.0,0.9274973198999391,True,commit_expired,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
12,"[2, 11]","[-142.27247619628906, 190.88523864746094]","[20, 20]","[-100.0, 100.0]","[-99.8969955444336, 99.94507598876953, 0.16528929769992828]","[20, 20]",10,0.1307373046875,"[[2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 12]","[-140.0, 190.0]","[-142.27247619628906, 190.88523864746094, 0.17820118367671967]","[2, 12]",True,False,61,2.4388102684831545,0,0,0,[False],[63],1.0,1.0,0.928581891083643,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
13,"[2, 12]","[-137.27474975585938, 189.1163787841797]","[20, 20]","[-100.0, 100.0]","[-99.90737915039062, 99.95061492919922, 0.16526299715042114]","[20, 20]",10,0.1146132532164376,"[[2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 13]","[-135.0, 190.0]","[-137.27474975585938, 189.1163787841797, 0.1688717156648636]","[2, 13]",True,False,61,2.4403427842887266,0,0,0,[False],[63],1.0,1.0,0.9264517549639646,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
14,"[2, 13]","[-132.28265380859375, 190.885009765625]","[20, 20]","[-100.0, 100.0]","[-99.91453552246094, 99.95442962646484, 0.16526855528354645]","[20, 20]",10,0.10350350824103123,"[[2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 14]","[-130.0, 190.0]","[-132.28265380859375, 190.885009765625, 0.1781272143125534]","[2, 14]",True,False,61,2.4482137764376644,0,0,0,[False],[63],0.9999999999999997,1.0,0.9226090393139152,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
15,"[2, 14]","[-127.28427124023438, 189.11619567871094]","[20, 20]","[-100.0, 100.0]","[-99.91946411132812, 99.9570541381836, 0.16530612111091614]","[20, 20]",10,0.09584449342919592,"[[2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 15]","[-125.0, 190.0]","[-127.28427124023438, 189.11619567871094, 0.16932088136672974]","[2, 15]",True,False,61,2.4492866670300377,0,0,0,[False],[63],1.0000000000000002,1.0,0.9218036303260708,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
16,"[2, 15]","[-122.28984832763672, 190.88479614257812]","[20, 25]","[-75.0, 100.0]","[-101.90650177001953, 102.10243225097656, 0.16861368715763092]","[20, 20]",10,25.102263556564843,"[[2, 15], [2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 16]","[-120.0, 190.0]","[-122.28984832763672, 190.88479614257812, 0.17836061120033264]","[2, 16]",True,False,61,2.454846141309432,0,0,0,[False],[63],1.0,1.0,0.9235901800390247,True,commit_expired,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
17,"[2, 16]","[-117.29106903076172, 189.1160430908203]","[20, 25]","[-75.0, 100.0]","[-100.01219177246094, 104.55059814453125, 0.17953066527843475]","[19, 20]",10,27.068895427650666,"[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 17]","[-115.0, 190.0]","[-117.29106903076172, 189.1160430908203, 0.16926881670951843]","[2, 17]",True,False,61,2.455682618133286,0,0,0,[False],[63],0.9999999999999999,1.0,0.9110601048773672,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
18,"[2, 17]","[-112.29496765136719, 190.88462829589844]","[20, 25]","[-75.0, 100.0]","[-96.56748962402344, 104.04940795898438, 0.17033593356609344]","[19, 20]",10,24.903945160903106,"[[2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 18]","[-110.0, 190.0]","[-112.29496765136719, 190.88462829589844, 0.17833630740642548]","[2, 18]",True,False,61,2.4595616972798218,0,0,0,[False],[63],1.0,1.0,0.9203798301771182,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
19,"[2, 18]","[-107.29588317871094, 189.11595153808594]","[20, 25]","[-75.0, 100.0]","[-93.1640853881836, 103.10306549072266, 0.16247744858264923]","[19, 21]",10,21.400758534699218,"[[2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 19]","[-105.0, 190.0]","[-107.29588317871094, 189.11595153808594, 0.168674498796463]","[2, 19]",True,False,61,2.4602075630524465,0,0,0,[False],[63],1.0,1.0,0.9195688475576758,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
20,"[2, 19]","[-102.2986068725586, 190.88450622558594]","[20, 25]","[-75.0, 100.0]","[-89.69075775146484, 102.43157196044922, 0.16814416646957397]","[19, 21]",10,17.88006981224507,"[[2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 20]","[-100.0, 190.0]","[-102.2986068725586, 190.88450622558594, 0.1778847873210907]","[2, 20]",True,False,61,2.462913887588009,0,0,0,[False],[63],0.9999999999999996,1.0,0.9189812949944983,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
