step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
38,"[25, 25]","[-75.0, 75.0]","[-74.9865493774414, 75.09872436523438, 0.1624917834997177]","[25, 25]",0.0996364367997171,10,target,holoocean_agent_proxy
39,"[25, 25]","[-75.0, 75.0]","[-74.98835754394531, 75.08547973632812, 0.16249893605709076]","[25, 25]",0.08626895215377954,10,target,holoocean_agent_proxy
40,"[25, 25]","[-75.0, 75.0]","[-74.98902893066406, 75.08052825927734, 0.1624922901391983]","[25, 25]",0.08127216562029738,10,target,holoocean_agent_proxy
41,"[25, 25]","[-75.0, 75.0]","[-74.98924255371094, 75.07894897460938, 0.1622643768787384]","[25, 25]",0.0796784992487547,10,target,holoocean_agent_proxy
42,"[25, 25]","[-75.0, 75.0]","[-74.98931884765625, 75.07844543457031, 0.16248394548892975]","[25, 25]",0.07916926941885706,10,target,holoocean_agent_proxy
43,"[25, 25]","[-75.0, 75.0]","[-74.98934173583984, 75.07828521728516, 0.1621929407119751]","[25, 25]",0.07900742901962952,10,target,holoocean_agent_proxy
44,"[25, 25]","[-75.0, 75.0]","[-74.98934173583984, 75.07823181152344, 0.16226591169834137]","[25, 25]",0.07895451177194575,10,target,holoocean_agent_proxy
45,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07821655273438, 0.16249360144138336]","[25, 25]",0.07893836293311386,10,target,holoocean_agent_proxy
46,"[25, 30]","[-50.0, 75.0]","[-75.01685333251953, 74.87317657470703, 0.1640944927930832]","[25, 25]",25.01717479736664,10,target,holoocean_agent_proxy
47,"[25, 30]","[-50.0, 75.0]","[-67.08209991455078, 72.18399810791016, 0.16222727298736572]","[26, 27]",17.3126544512085,10,target,holoocean_agent_proxy
48,"[25, 30]","[-50.0, 75.0]","[-56.909297943115234, 73.92842102050781, 0.16049355268478394]","[25, 29]",6.991900998728881,10,target,holoocean_agent_proxy
49,"[25, 30]","[-50.0, 75.0]","[-52.27191925048828, 74.64614868164062, 0.16251960396766663]","[25, 30]",2.2993102957721696,10,target,holoocean_agent_proxy
50,"[25, 30]","[-50.0, 75.0]","[-50.78216552734375, 74.8781967163086, 0.16241365671157837]","[25, 30]",0.7915926680325783,10,target,holoocean_agent_proxy
51,"[25, 30]","[-50.0, 75.0]","[-50.303951263427734, 74.95266723632812, 0.16224361956119537]","[25, 30]",0.3076146307575983,10,target,holoocean_agent_proxy
52,"[25, 30]","[-50.0, 75.0]","[-50.15049362182617, 74.9765625, 0.1622277945280075]","[25, 30]",0.15230773656189903,10,target,holoocean_agent_proxy
53,"[25, 30]","[-50.0, 75.0]","[-50.101253509521484, 74.9842300415039, 0.16244062781333923]","[25, 30]",0.1024742152025857,10,target,holoocean_agent_proxy
54,"[25, 30]","[-50.0, 75.0]","[-50.085453033447266, 74.9866943359375, 0.16244763135910034]","[25, 30]",0.08648272441062205,10,target,holoocean_agent_proxy
55,"[25, 30]","[-50.0, 75.0]","[-50.08038330078125, 74.98748016357422, 0.16220809519290924]","[25, 30]",0.08135245139894204,10,target,holoocean_agent_proxy
56,"[25, 30]","[-50.0, 75.0]","[-50.078758239746094, 74.98773193359375, 0.16233393549919128]","[25, 30]",0.07970800324466384,10,target,holoocean_agent_proxy
