tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
41,1,"[39, 40]",0.0,0.0,0.1997596025466919,40,40,10.0,0.0,90.0,90.0,-8000.0,8000.0,False,False
42,1,"[39, 40]",7.376117139301641e-08,-6.491417298093438e-05,0.18676714599132538,40,40,10.000064914172981,0.13008423149585724,90.00000042261765,89.86991619112177,-8000.0,8000.0,False,False
43,1,"[39, 40]",6.528588869514351e-07,-0.00019322012667544186,0.17297716438770294,40,40,10.000193220126695,0.3870001435279846,90.00000374053361,89.61300359700562,-8000.0,8000.0,False,False
44,1,"[39, 40]",2.571010554675013e-06,-0.00038358676829375327,0.15999822318553925,40,40,10.000383586768624,0.7675759196281433,90.00001473024037,89.23243881061222,-8000.0,8000.0,False,False
45,1,"[39, 40]",7.03721389072598e-06,-0.0006349298055283725,0.1494542509317398,40,40,10.000634929808005,1.2687181234359741,90.00004031770567,88.7313221942697,-8000.0,8000.0,False,False
46,1,"[39, 40]",1.5615330994478427e-05,-0.0009464045288041234,0.14245378971099854,40,40,10.000946404540993,1.8874104022979736,90.00008946078955,88.11267905849161,-8000.0,8000.0,False,False
47,1,"[39, 40]",3.0209417673177086e-05,-0.0013173851184546947,0.13970044255256653,40,40,10.001317385164077,2.6207098960876465,90.00017306441418,87.37946316832654,-8000.0,8000.0,False,False
48,1,"[39, 40]",5.304740625433624e-05,-0.0017473071347922087,0.14112186431884766,40,40,10.001747307275469,3.4657464027404785,90.000303886151,86.53455748341054,-8000.0,8000.0,False,False
49,1,"[39, 40]",8.666099893162027e-05,-0.0022355355322360992,0.14606505632400513,40,40,10.002235535907657,4.419720649719238,90.00049641997227,85.58077577025301,-8000.0,8000.0,False,False
50,1,"[39, 40]",0.00013386666250880808,-0.0027813357301056385,0.15370704233646393,40,40,10.002781336625869,5.4799017906188965,90.0007667862089,84.52086499558999,-8000.0,8000.0,False,False
51,1,"[39, 40]",0.00019770530343521386,-0.0033834418281912804,0.16248391568660736,40,40,10.003383443781898,6.643624305725098,90.00113238481147,83.35750807908636,-8000.0,8000.0,False,False
52,1,"[39, 40]",0.0002814473700709641,-0.004040521569550037,0.1713409423828125,40,40,10.00404052552858,7.908290386199951,90.00161192334448,82.09332153714456,-8000.0,8000.0,False,False
53,1,"[39, 40]",0.00038848232361488044,-0.004750503227114677,0.1787409782409668,40,40,10.004750510769457,9.2713623046875,90.00222478287091,80.73086247818344,-7903.22652599988,8000.0,False,False
54,1,"[39, 40]",0.0005224380292929709,-0.005511761177331209,0.18430009484291077,40,40,10.005511774816886,10.730365753173828,90.002991700457,79.27262594728319,-7566.840547627262,8000.0,False,False
55,1,"[39, 40]",0.0006871041259728372,-0.006322515197098255,0.18779034912586212,40,40,10.006322538787785,12.282881736755371,90.00393432915865,77.72105259240328,-7209.819594020489,8000.0,False,False
56,1,"[39, 40]",0.0008864031406119466,-0.0071807741187512875,0.18906527757644653,40,40,10.007180813376088,13.926551818847656,90.00507507158288,76.07852325273524,-6833.022906956558,8000.0,False,False
57,1,"[39, 40]",0.0011244452325627208,-0.008084635250270367,0.18828704953193665,40,40,10.008084698418054,15.659074783325195,90.00643739218806,74.34736260886285,-6437.350372588945,8000.0,False,False
58,1,"[39, 40]",0.0014055237406864762,-0.009032194502651691,0.18577788770198822,40,40,10.009032293188366,17.47820281982422,90.00804579066713,72.5298429708429,-6023.746815408074,8000.0,False,False
59,1,"[39, 40]",0.0017340852646157146,-0.010021399706602097,0.18188658356666565,40,40,10.01002154990866,19.381738662719727,90.00992562972816,70.62818696700845,-5593.205586968722,8000.0,False,False
60,1,"[39, 40]",0.002114728093147278,-0.011050033383071423,0.17698581516742706,40,40,10.011050256740004,21.36754035949707,90.01210312528144,68.64456276578437,-5146.769938527172,8000.0,False,False
61,1,"[39, 40]",0.0025524208322167397,-0.01211626548320055,0.17176371812820435,40,40,10.012116590831601,23.433521270751953,90.01460659606634,66.5810853253144,-4685.535098326761,8000.0,False,False
62,1,"[39, 40]",0.0030521289445459843,-0.013217533007264137,0.16660436987876892,40,40,10.013217998166981,25.577638626098633,90.01746432663228,64.43982570053365,-4210.651850573557,8000.0,False,False
63,1,"[39, 40]",0.003619285998865962,-0.014351695775985718,0.16220618784427643,40,40,10.014352349798887,27.797910690307617,90.02070726192336,62.22279657161573,-3723.3237130306006,8000.0,False,False
64,1,"[39, 40]",0.004259403795003891,-0.015516011044383049,0.15908004343509674,40,40,10.01551691676506,30.09239387512207,90.02436677708005,59.93197290195798,-3224.8116773652723,8000.0,False,False
65,1,"[39, 40]",0.004978305194526911,-0.01670760288834572,0.15780331194400787,40,40,10.016708839997488,32.45920944213867,90.02847600874432,57.56926656660565,-2716.4277958552852,8000.0,False,False
66,1,"[39, 40]",0.005781257059425116,-0.017921948805451393,0.1584252268075943,40,40,10.01792361696231,34.896514892578125,90.03306490055587,55.136550007977746,-2199.539321559869,8000.0,False,False
67,1,"[39, 40]",0.006673031952232122,-0.019153356552124023,0.1607549786567688,40,40,10.019155578763367,37.40253829956055,90.03816056080576,52.6356222612452,-1675.55925442435,8000.0,False,False
68,1,"[39, 40]",0.00765802850946784,-0.020395396277308464,0.16456201672554016,40,40,10.020398322578606,39.97554016113281,90.04378795548546,50.06824779435266,-1145.9516156342897,8000.0,False,False
69,1,"[39, 40]",0.01009017787873745,-0.020496975630521774,0.16914470493793488,40,40,10.0205020558009,42.59852600097656,90.05769418552757,47.459168184551004,-617.2662765935584,8000.0,False,False
70,1,"[39, 40]",0.015719061717391014,-0.01770644821226597,0.17395853996276855,40,40,10.01771878081307,45.24736404418945,90.08990432688347,44.84254028269402,-97.91029419087408,8000.0,False,False
71,1,"[39, 40]",0.02591065876185894,-0.010306617245078087,0.17846757173538208,40,40,10.010340150739037,47.89897155761719,90.14830395639109,42.2493323987739,404.746452475144,8000.0,False,False
72,1,"[39, 40]",0.04165485128760338,0.003343021497130394,0.18243691325187683,40,40,9.996743763470478,50.531551361083984,90.2387431485629,39.707191787478905,884.4328314043642,8000.0,False,False
73,1,"[39, 40]",0.06358383595943451,0.024766849353909492,0.18566618859767914,40,40,9.975435795690535,53.12487030029297,90.36520811617473,37.24033781588176,1336.0081462354392,8000.0,False,False
74,1,"[39, 40]",0.09200134128332138,0.0553373247385025,0.18786688148975372,40,40,9.945088233471694,55.66041564941406,90.53004695686474,34.869631307450675,1755.4351571912803,8000.0,False,False
