tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
1,1,"[39, 40]",0.0,0.0,0.6402697563171387,40,40,10.0,0.0,90.0,90.0,-8000.0,8000.0,False,False
2,1,"[39, 40]",7.376117139301641e-08,-6.491417298093438e-05,0.5508517622947693,40,40,10.000064914172981,0.13008423149585724,90.00000042261765,89.86991619112177,-8000.0,8000.0,False,False
3,1,"[39, 40]",6.52414200885687e-07,-0.00019311820506118238,0.4605759382247925,40,40,10.00019311820508,0.38700026273727417,90.00000373798584,89.61300347524855,-8000.0,8000.0,False,False
4,1,"[39, 40]",2.5660801838967018e-06,-0.00038302221219055355,0.3695279359817505,40,40,10.00038302221252,0.7675765752792358,90.00001470199334,89.2324381267141,-8000.0,8000.0,False,False
5,1,"[39, 40]",7.010029094089987e-06,-0.0006330611649900675,0.27778491377830505,40,40,10.000633061167447,1.268720269203186,90.00004016196564,88.73131989276249,-8000.0,8000.0,False,False
6,1,"[39, 40]",1.5512725440203212e-05,-0.000941682024858892,0.18541617691516876,40,40,10.00094168203689,1.8874157667160034,90.00008887300064,88.11267310628466,-8000.0,8000.0,False,False
7,1,"[39, 40]",2.9957533115521073e-05,-0.0013087268453091383,0.09979400783777237,40,40,10.001308726890175,2.6207196712493896,90.00017162156064,87.37945195031125,-8000.0,8000.0,False,False
8,1,"[39, 40]",5.26418152730912e-05,-0.001735703437589109,0.0299641415476799,40,40,10.001735703576122,3.465759754180908,90.0003015630417,86.53454180886081,-8000.0,8000.0,False,False
9,1,"[39, 40]",8.634031837573275e-05,-0.002225370379164815,-0.016950681805610657,40,40,10.002225370751814,4.419732570648193,90.00049458352132,85.58076201287315,-8000.0,8000.0,False,False
10,1,"[39, 40]",0.0001343010808341205,-0.002780516166239977,-0.03814448416233063,40,40,10.002780517067828,5.479902267456055,90.00076927461349,84.52086700715745,-8000.0,8000.0,False,False
11,1,"[39, 40]",0.0002002397959586233,-0.0034036089200526476,-0.03361881151795387,40,40,10.00340361092417,6.643601894378662,90.00114689916012,83.35754500478146,-8000.0,8000.0,False,False
12,1,"[39, 40]",0.00028819081489928067,-0.004095517098903656,-0.006656432989984751,40,40,10.0040955212499,7.908228397369385,90.00165053575861,82.0934221383892,-8000.0,8000.0,False,False
13,1,"[39, 40]",0.0004023465153295547,-0.004855158738791943,0.03749340400099754,40,40,10.004855166828998,9.271245956420898,90.00230415701698,80.73105820059607,-7903.262585127013,8000.0,False,False
14,1,"[39, 40]",0.000546816096175462,-0.005679059773683548,0.09228181093931198,40,40,10.00567907471559,10.730182647705078,90.00313124719095,79.27294859948586,-7566.898006901826,8000.0,False,False
15,1,"[39, 40]",0.0007251981878653169,-0.006560386158525944,0.14976340532302856,40,40,10.006560412436905,12.282629013061523,90.00415235543474,77.72152334237319,-7209.900331810733,8000.0,False,False
16,1,"[39, 40]",0.0009405934251844883,-0.007490782532840967,0.20302924513816833,40,40,10.007490826735529,13.926230430603027,90.00538516942092,76.07915473881792,-6833.127079913287,8000.0,False,False
17,1,"[39, 40]",0.00119555345736444,-0.008461091667413712,0.24662739038467407,40,40,10.008461163074399,15.658698081970215,90.00684422573421,74.34814614376398,-6437.474016184543,8000.0,False,False
18,1,"[39, 40]",0.0014921992551535368,-0.009462373331189156,0.27694210410118103,40,40,10.00946248455887,17.477794647216797,90.00854158951707,72.53074694230025,-6023.882005143871,8000.0,False,False
19,1,"[39, 40]",0.0018335090717300773,-0.010490186512470245,0.29441967606544495,40,40,10.010490354424102,19.38132095336914,90.01049422439633,70.62917327102718,-5593.343945531386,8000.0,False,False
20,1,"[39, 40]",0.002222704002633691,-0.011541155166924,0.30034321546554565,40,40,10.011541401902814,21.367143630981445,90.01272047473927,68.64557684375782,-5146.90045030735,8000.0,False,False
21,1,"[39, 40]",0.0026628985069692135,-0.01261165365576744,0.2958674430847168,40,40,10.012612007760598,23.43317222595215,90.0152380664907,66.58206584053855,-4685.646690159663,8000.0,False,False
22,1,"[39, 40]",0.003157069208100438,-0.01369780395179987,0.2820316255092621,40,40,10.013698301624384,25.577363967895508,90.01806392990912,64.44069996201361,-4210.732569542269,8000.0,False,False
23,1,"[39, 40]",0.0037080245092511177,-0.014795470982789993,0.25977107882499695,40,40,10.014796157439408,27.7977352142334,90.02121402734768,62.2234788131143,-3723.3608407233,8000.0,False,False
