step,robot_pos_before,segment_path_head,next_cell,final_projected_cell,ticks,arrived,timeout,distance_to_waypoint_m,distance_to_target_cells_after,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
31,"[48, 38]","[[48, 38], [47, 38], [46, 38]]","[47, 38]","[47, 38]",98,True,False,4.967750329275004,19.313207915827967,1.0,1.0,1.050899718926057,1.051618281755322,0
32,"[47, 38]","[[47, 38], [46, 38], [45, 38]]","[46, 38]","[46, 38]",85,True,False,4.957085180867846,18.384776310850235,1.0,0.9999999999999996,1.051618281755322,1.0522398490504923,0
33,"[46, 38]","[[46, 38], [45, 38], [44, 38]]","[45, 38]","[45, 38]",72,True,False,4.977229739309081,17.46424919657298,0.9999999999999996,1.0,1.0522398490504923,1.052783002926846,0
34,"[45, 38]","[[45, 38], [44, 38], [43, 38]]","[44, 38]","[44, 38]",100,True,False,4.953212621914698,16.55294535724685,1.0,1.0000000000000002,1.052783002926846,1.0532554265068341,0
35,"[44, 38]","[[44, 38], [43, 38], [42, 38]]","[43, 38]","[43, 38]",86,True,False,4.912483919523042,15.652475842498529,1.0000000000000002,1.0,1.0532554265068341,1.0536868437151208,0
36,"[43, 38]","[[43, 38], [42, 38], [41, 38]]","[42, 38]","[42, 38]",68,True,False,4.969297577183452,14.7648230602334,1.0,0.9999999999999998,1.0536868437151208,1.0540925485578736,0
37,"[42, 38]","[[42, 38], [41, 38], [40, 38]]","[41, 38]","[41, 38]",96,True,False,4.974306761133675,13.892443989449804,0.9999999999999998,1.0,1.0540925485578736,1.054520792049656,0
38,"[41, 38]","[[41, 38], [40, 38], [39, 38]]","[40, 38]","[40, 38]",85,True,False,4.954924766483539,13.038404810405298,1.0,1.0000000000000002,1.054520792049656,1.0549888109315473,0
39,"[40, 38]","[[40, 38], [39, 38], [38, 38]]","[39, 38]","[39, 38]",73,True,False,4.9682256913384535,12.206555615733702,1.0000000000000002,1.0,1.0549888109315473,1.0555358258731744,0
40,"[39, 38]","[[39, 38], [38, 38], [37, 38]]","[38, 38]","[38, 38]",99,True,False,4.900837233206988,11.40175425099138,1.0,0.9999999999999996,1.0555358258731744,1.0562598098080027,0
41,"[38, 38]","[[38, 38], [37, 38], [36, 38]]","[37, 38]","[37, 38]",87,True,False,4.9621268635346825,10.63014581273465,0.9999999999999996,1.0,1.0562598098080027,1.057276646694419,0
42,"[37, 38]","[[37, 38], [36, 38], [35, 38]]","[36, 38]","[36, 38]",68,True,False,4.941755566072692,9.899494936611665,1.0,1.0,1.057276646694419,1.058571725978688,0
43,"[36, 38]","[[36, 38], [35, 38], [34, 38]]","[35, 38]","[35, 38]",93,True,False,4.915899522886257,9.219544457292887,1.0,0.9999999999999999,1.058571725978688,1.0600611868532037,0
44,"[35, 38]","[[35, 38], [34, 38], [33, 38]]","[34, 38]","[34, 38]",87,True,False,4.987473494786716,8.602325267042627,0.9999999999999999,1.0,1.0600611868532037,1.0616606386508434,0
45,"[34, 38]","[[34, 38], [33, 38], [32, 38]]","[33, 38]","[33, 38]",71,True,False,4.96430009219835,8.06225774829855,1.0,0.9999999999999998,1.0616606386508434,1.063349861007017,0
46,"[33, 38]","[[33, 38], [32, 38], [31, 38]]","[32, 38]","[32, 38]",100,True,False,4.968431892977789,7.615773105863909,0.9999999999999998,1.0000000000000004,1.063349861007017,1.06509025832596,0
47,"[32, 38]","[[32, 38], [31, 38], [31, 39]]","[31, 38]","[31, 38]",86,True,False,4.89341766086131,7.280109889280518,1.0000000000000004,1.0,1.06509025832596,1.066846153265037,0
48,"[31, 38]","[[31, 38], [31, 39], [31, 40]]","[31, 39]","[31, 39]",81,True,False,4.932973587534427,6.324555320336759,1.0,1.0,1.066846153265037,1.0681046657339321,0
49,"[31, 39]","[[31, 39], [31, 40], [31, 41]]","[31, 40]","[31, 40]",95,True,False,4.897441807693234,5.385164807134504,1.0,0.9999999999999998,1.0681046657339321,1.0693600988090888,0
50,"[31, 40]","[[31, 40], [31, 41], [31, 42]]","[31, 41]","[31, 41]",85,True,False,4.907750248403239,4.47213595499958,0.9999999999999998,1.0000000000000002,1.0693600988090888,1.070687831232513,0
51,"[31, 41]","[[31, 41], [31, 42], [31, 43]]","[31, 42]","[31, 42]",73,True,False,4.927006834646649,3.605551275463989,1.0000000000000002,0.0,1.070687831232513,0.0,1
