map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
ALL,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,0.272656567766872,0.20846207385826881,0.05613821195707016,0.008992781236122854
open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,0.26776527907054815,0.180551799632853,0.050592041821737765,0.002985713553564818
harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,0.26329620527131153,0.2857269333632321,0.06195269024039711,0.010667535050201246
peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,0.2869082189587564,0.12576098464626434,0.0558699038090756,0.00743366689268917
ALL,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,0.27831802771618663,0.19749948114096935,0.05505296141450126,0.009133997689080324
open_water,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,0.2935502029633884,0.1425851251381411,0.049732559349869164,0.0027070633670358076
harbor_cove,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,0.28122301899055163,0.28537146860446494,0.062156013377742445,0.011211814465122379
peninsula_passage,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,0.26018086119461986,0.12116652673998365,0.053270311515892156,0.005942970612079664
