map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
ALL,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,,,soft_clearance_astar_v1,reservation_v1,0.2204518913358993,0.10113134534284832,0.02925234196360564,0.008425194180741691
open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,,,soft_clearance_astar_v1,reservation_v1,0.22382055593630712,0.0915215197643815,0.02461820233016134,0.003391806496723458
harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,,,soft_clearance_astar_v1,reservation_v1,0.19194037001040817,0.10265538551096388,0.03293932634178236,0.004805645987267161
peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,,,soft_clearance_astar_v1,reservation_v1,0.24559474806098258,0.10154758630511419,0.030199497218873224,0.011932598177207642
ALL,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,0.24715602134164466,0.10155365831258388,0.029239130628654863,0.008143242012964961
open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,0.2673711630702992,0.09035513061102331,0.024800115668184464,0.0028813048689539456
harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,0.1933654697210704,0.08930602751761357,0.03252652203455335,0.005324523667148952
peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,0.28073143123356437,0.10183534171951114,0.030390754183226787,0.011421325165188394
