tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
1,0,20,20,-100.0,100.0,-99.31110382080078,99.98722076416016,0.6402883529663086,-99.31110382080078,99.98722076416016,0.6402883529663086,20,20,0.6890146983801815,True,False
2,1,20,25,-75.0,100.0,-99.26971435546875,99.98518371582031,0.5508754849433899,-99.26971435546875,99.98518371582031,0.5508754849433899,20,20,24.26971887802417,False,False
3,1,20,25,-75.0,100.0,-99.22749328613281,99.98281860351562,0.4606066048145294,-99.22749328613281,99.98281860351562,0.4606066048145294,20,20,24.227499378392224,False,False
4,1,20,25,-75.0,100.0,-99.18451690673828,99.98011779785156,0.3695676922798157,-99.18451690673828,99.98011779785156,0.3695676922798157,20,20,24.184525079361638,False,False
5,1,20,25,-75.0,100.0,-99.14087677001953,99.97709655761719,0.2778361141681671,-99.14087677001953,99.97709655761719,0.2778361141681671,20,20,24.140887634735837,False,False
6,1,20,25,-75.0,100.0,-99.09664154052734,99.97373962402344,0.18548151850700378,-99.09664154052734,99.97373962402344,0.18548151850700378,20,20,24.096655849723515,False,False
7,1,20,25,-75.0,100.0,-99.05188751220703,99.97005462646484,0.10058611631393433,-99.05188751220703,99.97005462646484,0.10058611631393433,20,20,24.051906153676402,False,False
8,1,20,25,-75.0,100.0,-99.00667572021484,99.96605682373047,0.031360529363155365,-99.00667572021484,99.96605682373047,0.031360529363155365,20,20,24.0066997164285,False,False
9,1,20,25,-75.0,100.0,-98.9610595703125,99.96176147460938,-0.015646204352378845,-98.9610595703125,99.96176147460938,-0.015646204352378845,20,20,23.96109008198267,False,False
10,1,20,25,-75.0,100.0,-98.91508483886719,99.9571762084961,-0.03679061681032181,-98.91508483886719,99.9571762084961,-0.03679061681032181,20,20,23.91512318026679,False,False
11,1,20,25,-75.0,100.0,-98.86878967285156,99.95230102539062,-0.03179561346769333,-98.86878967285156,99.95230102539062,-0.03179561346769333,20,20,23.86883733320507,False,False
12,1,20,25,-75.0,100.0,-98.82220458984375,99.94715118408203,-0.003935046494007111,-98.82220458984375,99.94715118408203,-0.003935046494007111,20,20,23.822263211494338,False,False
13,1,20,25,-75.0,100.0,-98.77536010742188,99.94171905517578,0.04084809124469757,-98.77536010742188,99.94171905517578,0.04084809124469757,20,20,23.775431539850484,False,False
14,1,20,25,-75.0,100.0,-98.72828674316406,99.93601989746094,0.09520978480577469,-98.72828674316406,99.93601989746094,0.09520978480577469,20,20,23.728372999835795,False,False
15,1,20,25,-75.0,100.0,-98.68101501464844,99.9300537109375,0.1518426388502121,-98.68101501464844,99.9300537109375,0.1518426388502121,20,20,23.681118314120184,False,False
16,1,20,25,-75.0,100.0,-98.63356018066406,99.92382049560547,0.2045874446630478,-98.63356018066406,99.92382049560547,0.2045874446630478,20,20,23.633682957380124,False,False
17,1,20,25,-75.0,100.0,-98.58592987060547,99.91731262207031,0.24743327498435974,-98.58592987060547,99.91731262207031,0.24743327498435974,20,20,23.586074812558113,False,False
18,1,20,25,-75.0,100.0,-98.53814697265625,99.91055297851562,0.27678951621055603,-98.53814697265625,99.91055297851562,0.27678951621055603,20,20,23.538316925303285,False,False
19,1,20,25,-75.0,100.0,-98.490234375,99.90353393554688,0.29341790080070496,-98.490234375,99.90353393554688,0.29341790080070496,20,20,23.49043245012792,False,False
20,1,20,25,-75.0,100.0,-98.44219970703125,99.89627838134766,0.29859140515327454,-98.44219970703125,99.89627838134766,0.29859140515327454,20,20,23.44242916761213,False,False
21,1,20,25,-75.0,100.0,-98.39405822753906,99.88878631591797,0.29345566034317017,-98.39405822753906,99.88878631591797,0.29345566034317017,20,20,23.394322577006054,False,False
22,1,20,25,-75.0,100.0,-98.3458251953125,99.8810806274414,0.2790417969226837,-98.3458251953125,99.8810806274414,0.2790417969226837,20,20,23.346128070137404,False,False
23,1,20,25,-75.0,100.0,-98.29751586914062,99.87316131591797,0.25627779960632324,-98.29751586914062,99.87316131591797,0.25627779960632324,20,20,23.297861140556204,False,False
24,1,20,25,-75.0,100.0,-98.24913024902344,99.86504364013672,0.2261163741350174,-98.24913024902344,99.86504364013672,0.2261163741350174,20,20,23.249521942507208,False,False
25,1,20,25,-75.0,100.0,-98.20069122314453,99.85673522949219,0.19117997586727142,-98.20069122314453,99.85673522949219,0.19117997586727142,20,20,23.201133550457495,False,False
26,1,20,25,-75.0,100.0,-98.15220642089844,99.84825897216797,0.1571827083826065,-98.15220642089844,99.84825897216797,0.1571827083826065,20,20,23.15270367571395,False,False
27,1,20,25,-75.0,100.0,-98.10367584228516,99.83963012695312,0.1276194304227829,-98.10367584228516,99.83963012695312,0.1276194304227829,20,20,23.104232424418946,False,False
28,1,20,25,-75.0,100.0,-98.05512237548828,99.83084869384766,0.10534006357192993,-98.05512237548828,99.83084869384766,0.10534006357192993,20,20,23.0557428835662,False,False
29,1,20,25,-75.0,100.0,-98.00653076171875,99.82193756103516,0.09190808981657028,-98.00653076171875,99.82193756103516,0.09190808981657028,20,20,23.00721982165775,False,False
30,1,20,25,-75.0,100.0,-97.95792388916016,99.81290435791016,0.08778885006904602,-97.95792388916016,99.81290435791016,0.08778885006904602,20,20,22.958686244638642,False,False
31,1,20,25,-75.0,100.0,-97.90929412841797,99.80375671386719,0.09246008098125458,-97.90929412841797,99.80375671386719,0.09246008098125458,20,20,22.910134632727896,False,False
32,1,20,25,-75.0,100.0,-97.86064910888672,99.79450225830078,0.1046287938952446,-97.86064910888672,99.79450225830078,0.1046287938952446,20,20,22.861572714961817,False,False
33,1,20,25,-75.0,100.0,-97.81198120117188,99.78515625,0.1223086416721344,-97.81198120117188,99.78515625,0.1223086416721344,20,20,22.81299288036388,False,False
34,1,20,25,-75.0,100.0,-97.7633056640625,99.77571868896484,0.14318352937698364,-97.7633056640625,99.77571868896484,0.14318352937698364,20,20,22.764410531837182,False,False
35,1,20,25,-75.0,100.0,-97.71461486816406,99.76619720458984,0.16469956934452057,-97.71461486816406,99.76619720458984,0.16469956934452057,20,20,22.715818108889707,False,False
36,1,20,25,-75.0,100.0,-97.66590881347656,99.75659942626953,0.1840299516916275,-97.66590881347656,99.75659942626953,0.1840299516916275,20,20,22.66721566889341,False,False
37,1,20,25,-75.0,100.0,-97.61717987060547,99.74693298339844,0.19968904554843903,-97.61717987060547,99.74693298339844,0.19968904554843903,20,20,22.618595628690407,False,False
38,1,20,25,-75.0,100.0,-97.56844329833984,99.73719787597656,0.20992827415466309,-97.56844329833984,99.73719787597656,0.20992827415466309,20,20,22.569973368765233,False,False
39,1,20,25,-75.0,100.0,-97.51969146728516,99.72740936279297,0.21405558288097382,-97.51969146728516,99.72740936279297,0.21405558288097382,20,20,22.521341199786676,False,False
40,1,20,25,-75.0,100.0,-97.4709243774414,99.71757507324219,0.21203583478927612,-97.4709243774414,99.71757507324219,0.21203583478927612,20,21,22.472699130632808,False,False
41,1,20,25,-75.0,100.0,-97.42214965820312,99.70769500732422,0.20460164546966553,-97.42214965820312,99.70769500732422,0.20460164546966553,20,21,22.42405488540379,False,False
