episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
3,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,37,,0.6666666666666666,2,0.7376126126126126,18.736697959402406,240,0.0026041666666666665,0.0026041666666666665,5.970833333333333,0,0.1891891891891892,0.05369242063950828
4,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,113,1.0,3,0.49042792792792794,14.407326087087352,113,0.0055309734513274336,0.0055309734513274336,6.84070796460177,0,0.14634146341463414,0.0738808947129859
5,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,19,106,1.0,3,0.4724099099099099,15.281363636445763,106,0.00589622641509434,0.00589622641509434,5.688679245283019,0,0.21052631578947367,0.06473313853766435
6,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,45,,0.3333333333333333,1,0.7944819819819819,19.215379591941552,240,0.0026041666666666665,0.0026041666666666665,6.0625,0,0.1111111111111111,0.05728952186263338
7,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,154,1.0,3,0.6052927927927928,14.237445161392491,154,0.004058441558441558,0.004058441558441558,6.564935064935065,0,0.14634146341463414,0.05798606308207313
8,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,8,146,1.0,3,0.6238738738738738,15.20940666620542,146,0.004280821917808219,0.004280821917808219,7.342465753424658,0,1.0,0.08567642370355566
9,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,18,,0.6666666666666666,2,0.6807432432432432,21.485274999996854,240,0.0026041666666666665,0.0026041666666666665,4.295833333333333,0,0.16666666666666666,0.05900172648252784
0,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,76,,0.6666666666666666,2,0.7080103359173127,23.777267346823855,240,0.0026041666666666665,0.0026041666666666665,3.466666666666667,0,0.27631578947368424,0.046980899687131435
1,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,32,232,1.0,3,0.7390180878552972,28.35352340402909,232,0.0026939655172413795,0.0026939655172413795,3.7672413793103448,0,0.53125,0.053849086788381774
2,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,56,192,1.0,3,0.6863049095607235,22.542543589784493,192,0.0032552083333333335,0.0032552083333333335,3.46875,0,0.2857142857142857,0.05528098662350616
3,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,84,,0.6666666666666666,2,0.834625322997416,28.81997142878613,240,0.0026041666666666665,0.0026041666666666665,3.533333333333333,0,0.2261904761904762,0.05370994623838388
4,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,32,185,1.0,3,0.5503875968992248,26.92173513551589,185,0.0033783783783783786,0.0033783783783783786,3.108108108108108,0,0.21875,0.06239754457022805
5,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,86,,0.6666666666666666,2,0.8630490956072352,29.91681250015669,240,0.0078125,0.0078125,3.5,0,0.18604651162790697,0.04564518781156902
6,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,77,160,1.0,3,0.6335917312661499,23.626249999779247,160,0.00390625,0.00390625,4.125,0,0.4155844155844156,0.05270568865930484
7,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,19,,0.6666666666666666,2,0.5116279069767442,21.759030612290132,240,0.005208333333333333,0.005208333333333333,3.9791666666666665,0,0.21052631578947367,0.04854952950805008
8,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,42,,0.6666666666666666,2,0.8180878552971577,36.38016938781888,240,0.005208333333333333,0.005208333333333333,4.029166666666667,0,0.16666666666666666,0.044257297752112894
9,peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,35,,0.6666666666666666,2,0.7441860465116279,32.30052000013529,240,0.0026041666666666665,0.0026041666666666665,3.7333333333333334,0,0.14285714285714285,0.04060340454320622
0,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,64,92,1.0,3,0.382486388384755,19.99401052671601,92,0.006793478260869565,0.006793478260869565,7.630434782608695,0,0.375,0.050145101438836305
1,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,59,138,1.0,3,0.5181488203266787,18.934760713818832,138,0.004528985507246377,0.004528985507246377,8.007246376811594,0,0.4067796610169492,0.050665021101046995
2,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,46,157,1.0,3,0.5544464609800362,18.929743750391026,157,0.003980891719745223,0.003980891719745223,7.853503184713376,0,0.2391304347826087,0.047142010178416585
3,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,43,145,1.0,3,0.6179673321234119,20.394127586016488,145,0.004310344827586207,0.004310344827586207,8.03448275862069,0,0.06976744186046512,0.05123728938453034
4,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,34,136,1.0,3,0.4941016333938294,17.871396428225644,136,0.004595588235294118,0.004595588235294118,7.0661764705882355,0,0.4117647058823529,0.05011959162323471
5,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,12,137,1.0,3,0.5127041742286751,17.551025000362383,137,0.004562043795620438,0.004562043795620438,6.810218978102189,0,0.16666666666666666,0.05552688961194375
6,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,42,224,1.0,3,0.6742286751361162,23.69488000024123,224,0.0027901785714285715,0.0027901785714285715,8.071428571428571,0,0.40476190476190477,0.05067882170343249
7,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,169,1.0,3,0.6048094373865699,24.157341176439385,169,0.0036982248520710057,0.0036982248520710057,8.106508875739644,0,0.14634146341463414,0.04779653371282252
8,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,81,,0.3333333333333333,1,0.6451905626134301,16.99033999997482,240,0.0026041666666666665,0.0026041666666666665,8.916666666666666,0,0.3333333333333333,0.0473912161028734
9,open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,52,,0.6666666666666666,2,0.5989110707803993,21.281304000149248,240,0.0026041666666666665,0.0026041666666666665,9.1125,0,0.3269230769230769,0.04869584630000284
0,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,40,161,1.0,3,0.6227477477477478,17.193827273083365,161,0.0038819875776397515,0.0038819875776397515,5.484472049689441,0,0.25,0.07925470743774773
1,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,187,1.0,3,0.6717342342342343,17.527384615114453,187,0.0033422459893048127,0.0033422459893048127,4.780748663101604,0,0.34210526315789475,0.06027068883745123
2,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,146,1.0,3,0.6492117117117117,22.028663333427783,146,0.004280821917808219,0.004280821917808219,5.924657534246576,0,0.07894736842105263,0.04780218001795623
3,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,37,,0.6666666666666666,2,0.7032657657657657,22.245923999944353,240,0.0026041666666666665,0.0026041666666666665,5.066666666666666,0,0.1891891891891892,0.05369242063950828
4,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,104,1.0,3,0.49268018018018017,20.73666190474233,104,0.006009615384615385,0.006009615384615385,5.894230769230769,0,0.14634146341463414,0.07393435560438866
5,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,19,75,1.0,3,0.38513513513513514,18.281493333536975,75,0.008333333333333333,0.008333333333333333,4.933333333333334,0,0.21052631578947367,0.06473313853766435
6,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,45,,0.6666666666666666,2,0.732545045045045,24.50772549034845,240,0.0026041666666666665,0.0026041666666666665,4.9375,0,0.1111111111111111,0.05728952186263338
7,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,186,1.0,3,0.7545045045045045,32.386071052410685,186,0.003360215053763441,0.003360215053763441,5.774193548387097,0,0.14634146341463414,0.05798606308207313
8,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,5,178,1.0,3,0.6936936936936937,21.181786111103268,178,0.0035112359550561797,0.0035112359550561797,6.269662921348314,0,1.0,0.08340195655952713
9,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,18,,0.6666666666666666,2,0.6807432432432432,28.47082884608636,240,0.0026041666666666665,0.0026041666666666665,4.316666666666666,0,0.4444444444444444,0.05900172648252784
0,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,103,,0.6666666666666666,2,0.6950904392764858,26.782353061541787,240,0.0026041666666666665,0.0026041666666666665,3.816666666666667,0,0.17475728155339806,0.04705860198357732
1,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,32,174,1.0,3,0.682687338501292,28.632962856915714,174,0.0035919540229885057,0.0035919540229885057,4.137931034482759,0,0.53125,0.053849086788381774
2,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,56,192,1.0,3,0.6863049095607235,25.6936820514033,192,0.0032552083333333335,0.0032552083333333335,3.46875,0,0.2857142857142857,0.05528098662350616
3,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,82,155,1.0,3,0.5741602067183462,27.455348387335224,155,0.004032258064516129,0.004032258064516129,3.870967741935484,0,0.14634146341463414,0.053948202863810836
4,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,24,152,1.0,3,0.5695090439276486,26.02521612883016,152,0.004111842105263158,0.004111842105263158,4.796052631578948,0,0.375,0.061009170832603654
5,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,100,,0.6666666666666666,2,0.7441860465116279,45.41009999987485,240,0.010416666666666666,0.010416666666666666,3.7083333333333335,0,0.1,0.04550771077215354
6,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,85,223,1.0,3,0.7410852713178294,36.307108888932916,223,0.002802690582959641,0.002802690582959641,4.143497757847534,0,0.23529411764705882,0.05339427456566959
7,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,19,233,1.0,3,0.8093023255813954,31.756508510876845,233,0.002682403433476395,0.002682403433476395,3.6909871244635193,0,0.21052631578947367,0.04854952950805008
8,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,42,,0.6666666666666666,2,0.716795865633075,33.295531372976825,240,0.0026041666666666665,0.0026041666666666665,4.0,0,0.16666666666666666,0.044257297752112894
9,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,35,224,1.0,3,0.7875968992248062,24.646151063705553,224,0.0027901785714285715,0.0027901785714285715,3.5714285714285716,0,0.2857142857142857,0.04060340454320622
