map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std
ALL,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,49.766666666666666,23.77629538473608,174.1764705882353,57.879423646585316,0.8444444444444446,0.18724777273725246,2.533333333333333,0.5617433182117573,0.6877257011580441,0.16221277843495877,23.835833650309088,3.9974113286702297,202.7,54.42680099607791,0.0035622304278399436,0.0019065439852064348,0.0035622304278399436,0.0019065439852064348,5.4015875474955655,1.798010126959333,0.0,0.0
open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,57.7,23.121634890292686,146.14285714285714,73.97186448031358,0.9,0.1527525231651947,2.7,0.45825756949558405,0.6099364791288566,0.2268032641666011,20.565770280567808,2.9977407420713598,174.3,75.36716791813262,0.004775282395137255,0.002858466174904003,0.004775282395137255,0.002858466174904003,7.794875570007517,0.41305282887948686,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,35.4,14.947909552843836,197.6,31.334326225403345,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7397522522522524,0.11535011659898485,22.907088775807814,2.4223893914191175,218.8,30.665289824164386,0.002922077922077922,0.0004684331626942853,0.002922077922077922,0.0004684331626942853,4.711331168831168,0.5708508103589323,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,56.2,25.043162739558277,190.0,29.127306775601483,0.8,0.22110831935702666,2.4,0.66332495807108,0.7134883720930232,0.06907927424614496,28.034641894551633,1.9742340072680338,215.0,32.391356871857035,0.0029893309663046506,0.0005522384472071,0.0029893309663046506,0.0005522384472071,3.698555903648009,0.31215341721657514,0.0,0.0
ALL,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,52.2,32.23703873910671,160.6,58.98903852976981,0.8000000000000002,0.22110831935702668,2.4,0.6633249580710799,0.6765189278144054,0.1546728516744544,23.412031753132485,3.8551591747011824,200.3,57.58422816477905,0.003934859214916109,0.0020859496878352355,0.003934859214916109,0.0020859496878352355,5.406977353567041,1.8930428300484856,0.0,0.0
open_water,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,63.5,27.882790391207262,116.2,48.43717580536669,0.7666666666666666,0.2603416558635552,2.3,0.7810249675906654,0.6153811252268603,0.2052582686068925,20.80995835229941,2.5008999603639936,178.1,70.74383365354186,0.004455702497083226,0.002525244357688846,0.004455702497083226,0.002525244357688846,7.787371216295048,0.7348101337470679,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,30.5,10.726136303441235,172.33333333333334,59.26119209810826,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6989301801801802,0.1371901853242942,22.031587305440887,2.122179267458445,199.4,56.621903888866186,0.004052300734824312,0.0020050500377357112,0.004052300734824312,0.0020050500377357112,4.751698171377461,0.958028357856343,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,62.6,38.96716566546764,198.5,27.225906780123964,0.7666666666666667,0.21343747458109497,2.3,0.6403124237432849,0.7152454780361758,0.071268004915211,27.39454960165718,3.048237205593697,223.4,26.642822673282947,0.003296574412840788,0.0014014263651505664,0.003296574412840788,0.0014014263651505664,3.6818626730286113,0.4705133289782774,0.0,0.0
