tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
11,1,"[39, 40]",0.0,0.0,-0.027480820193886757,40,40,10.0,0.0,90.0,90.0,-8000.0,8000.0,False,False
12,1,"[39, 40]",7.376117139301641e-08,-6.491417298093438e-05,-0.0006530546233989298,40,40,10.000064914172981,0.13008423149585724,90.00000042261765,89.86991619112177,-8000.0,8000.0,False,False
13,1,"[39, 40]",6.540911954289186e-07,-0.000193502550246194,0.04273194074630737,40,40,10.000193502550266,0.38699984550476074,90.00000374759398,89.61300390208919,-8000.0,8000.0,False,False
14,1,"[39, 40]",2.580851742095547e-06,-0.0003847546176984906,0.09671829640865326,40,40,10.000384754618032,0.7675745487213135,90.00001478662232,89.23244023790102,-8000.0,8000.0,False,False
15,1,"[39, 40]",7.072038442856865e-06,-0.0006375499651767313,0.15401095151901245,40,40,10.000637549967678,1.2687153816223145,90.00004051721237,88.73132513559005,-8000.0,8000.0,False,False
16,1,"[39, 40]",1.568745392432902e-05,-0.0009504063636995852,0.20781578123569489,40,40,10.000950406376003,1.8874057531356812,90.00008987394844,88.11268412081279,-8000.0,8000.0,False,False
17,1,"[39, 40]",3.0278450140031055e-05,-0.0013212463818490505,0.25202077627182007,40,40,10.00132124642768,2.6207053661346436,90.00017345982201,87.37946809368736,-8000.0,8000.0,False,False
18,1,"[39, 40]",5.2930976380594075e-05,-0.0017474323976784945,0.28212234377861023,40,40,10.001747432537737,3.4657464027404785,90.00030321916971,86.53455681642924,-8000.0,8000.0,False,False
19,1,"[39, 40]",8.60010550240986e-05,-0.0022273168433457613,0.2994130253791809,40,40,10.002227317213073,4.419730186462402,90.0004926400221,85.58076245355971,-8000.0,8000.0,False,False
20,1,"[39, 40]",0.0001320637238677591,-0.002759224036708474,0.3051736354827881,40,40,10.002759224908509,5.479926586151123,90.00075646067596,84.52082987452485,-8000.0,8000.0,False,False
21,1,"[39, 40]",0.00019388522196095437,-0.003341397736221552,0.30055680871009827,40,40,10.003341399615167,6.64367151260376,90.00111050942733,83.35743899682359,-8000.0,8000.0,False,False
