step,robot_pos_before,segment_path_head,next_cell,final_projected_cell,ticks,arrived,timeout,distance_to_waypoint_m,distance_to_target_cells_after,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
1,"[40, 40]","[[40, 40], [39, 40], [38, 40]]","[39, 40]","[39, 40]",76,True,False,4.988807338663069,9.486832980505138,0.9999999999999998,1.0000000000000002,1.0068331772523353,1.010186949142552,0
2,"[39, 40]","[[39, 40], [38, 40], [37, 40]]","[38, 40]","[38, 40]",113,True,False,4.951529680488518,8.54400374531753,1.0000000000000002,1.0,1.010186949142552,1.0123581976092841,0
3,"[38, 40]","[[38, 40], [37, 40], [36, 40]]","[37, 40]","[37, 40]",89,True,False,4.953339866581034,7.615773105863909,1.0,1.0,1.0123581976092841,1.0141290840264567,0
4,"[37, 40]","[[37, 40], [36, 40], [35, 40]]","[36, 40]","[36, 40]",69,True,False,4.889857963625847,6.708203932499369,1.0,0.9999999999999991,1.0141290840264567,1.0157771468336187,0
5,"[36, 40]","[[36, 40], [35, 40], [34, 40]]","[35, 40]","[35, 40]",96,True,False,4.940184718292401,5.830951894845301,0.9999999999999991,1.0000000000000004,1.0157771468336187,1.0173929094072043,0
6,"[35, 40]","[[35, 40], [34, 40], [33, 40]]","[34, 40]","[34, 40]",87,True,False,4.9487959467906535,5.0,1.0000000000000004,0.9999999999999998,1.0173929094072043,1.0190034430417194,0
7,"[34, 40]","[[34, 40], [33, 40], [32, 40]]","[33, 40]","[33, 40]",71,True,False,4.973776265975478,4.242640687119285,0.9999999999999998,0.0,1.0190034430417194,0.0,1
