map_kind,baseline_clue_acquisition_mode,challenger_clue_acquisition_mode,target_motion_mode,policy_name,path_safety_mode,time_to_first_detection_delta_mean,time_to_all_found_delta_mean,detection_rate_delta_mean,found_count_delta_mean,known_free_observation_ratio_final_delta_mean,planning_time_ms_mean_delta_mean,path_length_delta_mean,clearance_penalty_raw_mean_delta_mean,near_obstacle_step_ratio_delta_mean,min_clearance_cells_mean_delta_mean,path_invalidations_per_episode_delta_mean,anomaly_top_band_selection_ratio_pre_first_detection_delta_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta_mean
ALL,ucb,anomaly_upper_tail,static,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,,,0.0,0.0,0.0,-1.8708000000060565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_water,ucb,anomaly_upper_tail,static,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,,,0.0,0.0,0.0,-1.8708000000060565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
