target_motion_mode,map_kind,n,time_to_first_detection_baseline_mean,time_to_first_detection_simple_ring_mean,time_to_first_detection_delta,time_to_all_found_baseline_mean,time_to_all_found_simple_ring_mean,time_to_all_found_delta,success_all_found_baseline_mean,success_all_found_simple_ring_mean,success_all_found_delta,detection_rate_baseline_mean,detection_rate_simple_ring_mean,detection_rate_delta,found_count_baseline_mean,found_count_simple_ring_mean,found_count_delta,known_free_observation_ratio_final_baseline_mean,known_free_observation_ratio_final_simple_ring_mean,known_free_observation_ratio_final_delta,path_length_total_baseline_mean,path_length_total_simple_ring_mean,path_length_total_delta,planning_time_ms_mean_baseline_mean,planning_time_ms_mean_simple_ring_mean,planning_time_ms_mean_delta,duplicate_viewpoint_ratio_baseline_mean,duplicate_viewpoint_ratio_simple_ring_mean,duplicate_viewpoint_ratio_delta,cross_region_assignment_ratio_baseline_mean,cross_region_assignment_ratio_simple_ring_mean,cross_region_assignment_ratio_delta,reservation_wait_fallback_count_baseline_mean,reservation_wait_fallback_count_simple_ring_mean,reservation_wait_fallback_count_delta,candidate_pool_size_mean_baseline_mean,candidate_pool_size_mean_simple_ring_mean,candidate_pool_size_mean_delta,reachable_pool_size_mean_baseline_mean,reachable_pool_size_mean_simple_ring_mean,reachable_pool_size_mean_delta,a_star_checked_pool_size_mean_baseline_mean,a_star_checked_pool_size_mean_simple_ring_mean,a_star_checked_pool_size_mean_delta
random_walk,harbor_cove,10,53.1,61.3,8.199999999999996,159.16666666666666,170.8,11.633333333333354,0.6,0.5,-0.09999999999999998,0.8333333333333334,0.8333333333333333,-1.1102230246251565e-16,2.5,2.5,0.0,0.7740679824561404,0.7914199561403509,0.017351973684210487,383.0,410.8,27.80000000000001,116.36367670592578,104.42070161694316,-11.942975088982621,0.0,0.0,0.0,0.014235347985347986,0.021602052103641377,0.007366704118293391,0.0,0.0,0.0,,,,,,,,,
random_walk,open_water,10,64.8,57.9,-6.899999999999999,164.33333333333334,135.5,-28.833333333333343,0.6,0.8,0.20000000000000007,0.8333333333333334,0.9333333333333333,0.09999999999999998,2.5,2.8,0.2999999999999998,0.7234526967285588,0.6003757736516357,-0.12307692307692308,389.2,312.8,-76.39999999999998,132.1949979052214,105.87170021174333,-26.323297693478082,0.0,0.0,0.0,0.017549861874128016,0.02215798340190098,0.004608121527772964,0.0,0.0,0.0,,,,,,,,,
random_walk,peninsula_passage,10,65.5,57.2,-8.299999999999997,156.16666666666666,173.33333333333334,17.166666666666686,0.6,0.6,0.0,0.8333333333333334,0.8666666666666667,0.033333333333333326,2.5,2.6,0.10000000000000009,0.6992488733099649,0.7485227841762644,0.04927391086629951,379.4,400.0,20.600000000000023,200.24168315036198,149.41922036339673,-50.82246278696525,0.0,0.0,0.0,0.036164869840949715,0.053103993395049724,0.01693912355410001,0.0,0.0,0.0,,,,,,,,,
static,harbor_cove,10,52.0,64.9,12.900000000000006,117.6,156.66666666666666,39.06666666666666,0.5,0.6,0.09999999999999998,0.6666666666666666,0.8333333333333334,0.16666666666666674,2.0,2.5,0.5,0.6989309210526315,0.7093475877192983,0.01041666666666674,357.6,380.0,22.399999999999977,135.03128922239802,117.5549942827505,-17.476294939647516,0.00041666666666666664,0.0,-0.00041666666666666664,0.013556338028169013,0.02676940094219506,0.013213062914026047,0.0,0.0,0.0,,,,,,,,,
static,open_water,10,65.2,65.3,0.09999999999999432,161.42857142857142,166.16666666666666,4.738095238095241,0.7,0.6,-0.09999999999999998,0.9,0.8,-0.09999999999999998,2.7,2.4,-0.30000000000000027,0.63921308576481,0.6554818744473917,0.016268788682581747,370.0,391.4,21.399999999999977,143.09659968394257,124.31009963823291,-18.78650004570966,0.0,0.0,0.0,0.015446343879440303,0.013546062044074962,-0.0019002818353653413,0.0,0.0,0.0,,,,,,,,,
static,peninsula_passage,10,65.2,65.7,0.5,191.8,158.5,-33.30000000000001,0.5,0.4,-0.09999999999999998,0.8333333333333333,0.7333333333333333,-0.09999999999999998,2.5,2.2,-0.2999999999999998,0.6889584376564847,0.6604907361041562,-0.028467701552328473,431.8,414.8,-17.0,237.05368549058005,199.75984847847457,-37.293837012105485,0.0,0.0,0.0,0.015213175176572967,0.0013621794871794871,-0.01385099568939348,0.0,0.0,0.0,,,,,,,,,
