episode_seed,map_kind,target_motion_mode,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean
5,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,181,29,181,True,1.0,3,0.6875312969454181,362,207.93049171259764,0.0,0.013812154696132596,0,,,
6,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,150,39,150,True,1.0,3,0.5368052078117176,300,235.24518066665527,0.0,0.02666666666666667,0,,,
7,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,211,154,211,True,1.0,3,0.6594892338507762,422,212.18505165880651,0.0,0.0,0,,,
8,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,235,48,235,True,1.0,3,0.6492238357536304,470,243.70973702124445,0.0,0.0,0,,,
9,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,114,,False,0.6666666666666666,2,0.7661492238357537,480,277.16604625003737,0.0,0.03333333333333333,0,,,
0,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,11,,False,0.6666666666666666,2,0.832449160035367,480,136.30067458335967,0.0,0.0,0,,,
1,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,232,21,232,True,1.0,3,0.8236074270557029,464,152.7818172414519,0.0,0.017241379310344827,0,,,
2,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,173,80,173,True,1.0,3,0.7130857648099027,346,143.8228687862132,0.0,0.0,0,,,
3,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,171,,False,0.3333333333333333,1,0.7891246684350133,480,135.58119999999386,0.0,0.0375,0,,,
4,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,158,,False,0.6666666666666666,2,0.8366489832007074,480,130.98428458326148,0.0,0.0,0,,,
5,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,159,71,159,True,1.0,3,0.6456675508399646,318,143.4745584905293,0.0,0.03773584905660377,0,,,
6,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,44,,False,0.6666666666666666,2,0.8868258178603006,480,130.8078583333554,0.0,0.008333333333333333,0,,,
7,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,75,43,75,True,1.0,3,0.3713527851458886,150,120.38791066695315,0.0,0.06666666666666667,0,,,
8,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,187,20,187,True,1.0,3,0.6710875331564987,374,111.33948449211717,0.0,0.008021390374331552,0,,,
