run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,observer_heading_deg,post_arrival_stabilization_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,observer_pose_source,observer_orientation_source,world_projection_uses_observer_heading,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,live_capture_primary_detection_source,replay_events_used_for_detection,calibration_reference_used,calibration_reference_role,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,7,1,7,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99993896484375, 149.99826049804688, 0.19494366645812988]",3.4657552223522323,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,7,1,7,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99993896484375, 50.00173568725586, 0.21753539144992828]",356.5342428601703,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,8,1,8,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999084472656, 149.99777221679688, 0.18964514136314392]",4.419737900071354,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,8,1,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999084472656, 50.00221633911133, 0.2092621922492981]",355.58025912060685,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,9,1,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9998474121094, 149.9972381591797, 0.18119044601917267]",5.479929566288492,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,9,1,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9998474121094, 50.002750396728516, 0.19724835455417633]",354.5200657594171,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,10,1,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997863769531, 149.99664306640625, 0.17048287391662598]",6.643666246796812,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,10,1,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997863769531, 50.00334167480469, 0.1838081181049347]",353.356327816919,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,11,1,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997253417969, 149.99600219726562, 0.15898217260837555]",7.908347279804938,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,11,1,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997253417969, 50.00398254394531, 0.17049500346183777]",352.09164595496253,False,False,False,0,transit,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
