run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,9,9,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9998474121094,50.00275421142578,0.18276947736740112,35,2,False,False,10.002754212589613,354.52006703422467,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.999475557706,-85.5807839885183,99.9944839477539
calibration,1,10,10,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9997863769531,149.9966583251953,0.18106071650981903,25,2,False,False,10.003341677085665,6.643670062979517,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00087402282252,84.52094148198302,99.99331665039062
calibration,1,10,10,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9997863769531,50.00334167480469,0.17001882195472717,35,2,False,False,10.003341677085665,353.35632993702046,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99912597651087,-84.5209410577138,99.99331665039062
calibration,1,11,11,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9997253417969,149.9960174560547,0.16885018348693848,25,2,False,False,10.003982547715667,7.908350662421236,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00122356102479,83.35755349804526,99.99203109741211
calibration,1,11,11,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9997253417969,50.00398635864258,0.15791428089141846,35,2,False,False,10.003986362412931,352.09165018323284,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9987764389752,-83.35755349804526,99.99203109741211
calibration,1,12,12,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9996032714844,149.9953155517578,0.15817205607891083,25,2,False,False,10.004684456108176,9.271436144377276,LocationSensor,False,True,True,False,[],,-8000.0,8000.0,90.00157304911066,82.09322238668943,99.99063110351562
calibration,1,12,12,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9996032714844,50.00468444824219,0.1475079208612442,35,2,False,False,10.004684456108176,350.72856609107635,LocationSensor,False,True,True,False,[],,8000.0,-8000.0,269.9984269514892,-82.09322323174365,99.99063110351562
calibration,1,13,13,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9994812011719,149.99456787109375,0.14998963475227356,25,2,False,False,10.005432142356554,10.730448079815561,LocationSensor,False,False,True,False,[],,-7903.226147521483,8000.0,90.00227202263734,80.73083587826005,99.98913192749023
calibration,1,13,13,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9994812011719,50.005435943603516,0.13998167216777802,35,2,False,False,10.005435957053814,349.26955591141945,LocationSensor,False,False,True,False,[],,8000.0,-7903.226663658912,269.9977279773627,-80.73083811371367,99.98913192749023
calibration,1,14,14,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99932861328125,149.99375915527344,0.14493460953235626,25,2,False,False,10.006240867250511,12.282966961289365,LocationSensor,False,False,True,False,[],,-7566.824816492667,8000.0,90.00297088450137,79.27252280468582,99.98751449585427
calibration,1,14,14,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9992980957031,50.00624465942383,0.13610514998435974,35,2,False,False,10.006244684041937,347.7170380440994,LocationSensor,False,False,True,False,[],,8000.0,-7566.825351038897,269.9970291166313,-79.27252679478812,99.98751449585427
calibration,1,15,15,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9991149902344,149.99290466308594,0.14334022998809814,25,2,False,False,10.00709537604841,13.926633161806611,LocationSensor,False,False,True,False,[],,-7209.788758357584,8000.0,90.00384436332733,77.72087740203796,99.98580169677734
calibration,1,15,15,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9991149902344,50.007102966308594,0.1362181305885315,35,2,False,False,10.00710300544291,346.0733742895735,LocationSensor,False,False,True,False,[],,8000.0,-7209.829609531728,269.99598089441787,-77.72105714968154,99.98580169677734
calibration,1,16,16,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9988708496094,149.9919891357422,0.14503607153892517,25,2,False,False,10.008010927955814,15.659142978148191,LocationSensor,False,False,True,False,[],,-6833.013602133757,8000.0,90.0050671371221,76.07843397531548,99.98397064208984
calibration,1,16,16,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9988708496094,50.008018493652344,0.13992096483707428,35,2,False,False,10.008018557350297,344.3408678087129,LocationSensor,False,False,True,False,[],,8000.0,-6833.014312886302,269.99493286674107,-76.07844142283244,99.98397064208984
calibration,1,17,17,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99859619140625,149.99102783203125,0.14939838647842407,25,2,False,False,10.008972266414352,17.478249960292196,LocationSensor,False,False,True,False,[],,-6437.3517570933,8000.0,90.00646437663,74.34732139848182,99.9820442199707
calibration,1,17,17,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99859619140625,50.00898361206055,0.14644229412078857,35,2,False,False,10.008983710506037,342.52176409521394,LocationSensor,False,False,True,False,[],,8000.0,-6437.353100550445,269.993535628298,-74.34733218041492,99.9820442199707
calibration,1,18,18,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9982604980469,149.99002075195312,0.15580695867538452,25,2,False,False,10.009979399189397,19.381758220735612,LocationSensor,False,True,True,False,[],,-6023.74366173344,8000.0,90.00803602066115,72.52978606036896,99.98002624511719
calibration,1,18,18,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9982604980469,50.00999450683594,0.15438231825828552,35,2,False,False,10.009994657978229,340.61825693233806,LocationSensor,False,True,True,False,[],,8000.0,-6023.744988330654,269.9919639885271,-72.52980010668682,99.98002624511719
calibration,1,19,19,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99786376953125,149.9889678955078,0.16352713108062744,25,2,False,False,10.01103233241477,21.367529529706015,LocationSensor,False,False,True,False,[],,-5593.215752743497,8000.0,90.00995667592268,70.62819845518706,99.9779167175293
calibration,1,19,19,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99786376953125,50.011051177978516,0.16236364841461182,35,2,False,False,10.011051405900663,338.6324856805272,LocationSensor,False,False,True,False,[],,8000.0,-5593.216427446554,269.99004333925484,-70.62821359308322,99.9779167175293
calibration,1,20,20,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9974060058594,149.9878692626953,0.17154495418071747,25,2,False,False,10.01213107333733,23.433479408602842,LocationSensor,False,False,True,False,[],,-5146.803501665356,8000.0,90.01222621072345,68.64469668101742,99.97572708129883
calibration,1,20,20,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9974060058594,50.012142181396484,0.1694406270980835,35,2,False,False,10.012142517428742,336.5665311414802,LocationSensor,False,False,True,False,[],,8000.0,-5146.803144800552,269.9877738125704,-68.6447118679568,99.97572708129883
calibration,1,21,21,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9969177246094,149.9867401123047,0.17847758531570435,25,2,False,False,10.013260362087342,25.57757136941677,LocationSensor,False,False,True,False,[],,-4685.594247370414,8000.0,90.01484448384801,66.58136507524517,99.97347259521484
calibration,1,21,21,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9969177246094,50.013267517089844,0.1749386191368103,35,2,False,False,10.013267991481511,334.42243318557007,LocationSensor,False,False,True,False,[],,8000.0,-4685.59412811704,269.98515553311955,-66.58137560836064,99.97347259521484
calibration,1,22,22,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.996337890625,149.98558044433594,0.18390360474586487,25,2,False,False,10.01442022525078,27.797824506250834,LocationSensor,False,False,True,False,[],,-4210.694851743565,8000.0,90.01763675042722,64.44006538101044,99.97116088867188
calibration,1,22,22,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.996337890625,50.01441955566406,0.17836801707744598,35,2,False,False,10.01442022525078,332.20217557589876,LocationSensor,False,False,True,False,[],,8000.0,-4210.694071122056,269.9823632630107,-64.44006992255936,99.97116088867188
calibration,1,23,23,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99566650390625,149.98440551757812,0.18732616305351257,25,2,False,False,10.015595419919272,30.092301727716304,LocationSensor,False,False,True,False,[],,-3723.378956263076,8000.0,90.02095212815718,62.22312762190634,99.96880722045898
calibration,1,23,23,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99566650390625,50.01559829711914,0.17940576374530792,35,2,False,False,10.01559923461618,329.90768940729737,LocationSensor,False,False,True,False,[],,8000.0,-3723.3789742234303,269.9790478718428,-62.22312770405597,99.96880722045898
calibration,1,24,24,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9949645996094,149.9832000732422,0.18859204649925232,25,2,False,False,10.016801192394327,32.45912275316475,LocationSensor,False,True,True,False,[],,-3224.9019440783227,8000.0,90.02479044270912,59.932488714992814,99.9664077758789
calibration,1,24,24,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9949645996094,50.01679229736328,0.17829018831253052,35,2,False,False,10.01679356300076,327.54086388652667,LocationSensor,False,True,True,False,[],,8000.0,-3224.8989892590093,269.97520956673293,-59.93247984056444,99.9664077758789
calibration,1,25,25,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.994140625,149.98199462890625,0.18779850006103516,25,2,False,False,10.0180070846221,34.89645364329458,LocationSensor,False,False,True,False,[],,-2716.489239992037,8000.0,90.02880232892228,57.56967957575753,99.96399688721169
calibration,1,25,25,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9941711425781,50.01799774169922,0.175235778093338,35,2,False,False,10.01799943742609,325.10352844206267,LocationSensor,False,False,True,False,[],,8000.0,-2716.4886054208228,269.9711976491401,-57.56966623738657,99.96399688721169
calibration,1,26,26,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9932556152344,149.98077392578125,0.18544456362724304,25,2,False,False,10.019228344190521,37.402504570542916,LocationSensor,False,False,True,False,[],,-2199.6205587855397,8000.0,90.03351140345477,55.13705776016019,99.96155929565896
calibration,1,26,26,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9932861328125,50.01921463012695,0.17096468806266785,35,2,False,False,10.019216879605041,322.59747563888516,LocationSensor,False,False,True,False,[],,8000.0,-2199.582344911677,269.9666631096771,-55.13686533238558,99.96155929565896
calibration,1,27,27,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9923095703125,149.9795379638672,0.1818617880344391,25,2,False,False,10.020464987229271,39.97554393007349,LocationSensor,False,False,True,False,[],,-1675.6270722867484,8000.0,90.0385683206721,52.63606375012918,99.95910263061523
calibration,1,27,27,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9923095703125,50.02043533325195,0.16583289206027985,35,2,False,False,10.020438284356276,320.02443639875,LocationSensor,False,False,True,False,[],,8000.0,-1675.5904744601667,269.9616061527097,-52.635869486175466,99.95910263061523
calibration,1,28,28,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9898681640625,149.97946166992188,0.1778538078069687,25,2,False,False,10.020543452261677,42.59856354349064,LocationSensor,False,False,True,False,[],,-1145.9654791913463,8000.0,90.04397293015379,50.0684290000803,99.95895385742654
calibration,1,28,28,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9898986816406,50.0205078125,0.1603720337152481,35,2,False,False,10.020512903889008,317.40141483805655,LocationSensor,False,False,True,False,[],,8000.0,-1145.9707660859322,269.9560269526653,-50.06840944608473,99.95895385742654
calibration,1,29,29,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9842834472656,149.98228454589844,0.17376045882701874,25,2,False,False,10.017727782754687,45.247438784038785,LocationSensor,False,False,True,False,[],,-617.291356784006,8000.0,90.05793214106764,47.459368597577,99.96459579467773
calibration,1,29,29,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9842834472656,50.0176887512207,0.15544146299362183,35,2,False,False,10.01770107990669,314.75254427589255,LocationSensor,False,False,True,False,[],,8000.0,-617.2632024766281,269.9422421773133,-47.45917266074326,99.96459579467773
calibration,1,30,30,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9740905761719,149.9897003173828,0.1700768917798996,25,2,False,False,10.010333212937962,47.899067878041905,LocationSensor,False,True,True,False,[],,-97.88927510969916,8000.0,90.08988989610316,44.84245111206437,99.97943115234841
calibration,1,30,30,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.97412109375,50.01026916503906,0.15194503962993622,35,2,False,False,10.010302616520669,312.10092680796464,LocationSensor,False,True,True,False,[],,8000.0,-97.89624174531036,269.91010986428915,-44.84243441160339,99.97943115234841
calibration,1,31,31,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9583740234375,150.0033721923828,0.16743740439414978,25,2,False,False,9.99671447256297,50.531661161636926,LocationSensor,False,False,True,False,[],,404.76359798471094,8000.0,90.14829699080654,42.249229112764624,100.00677108765113
calibration,1,31,31,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9584045410156,49.99660110473633,0.15035581588745117,35,2,False,False,9.996687642885702,309.4683448879478,LocationSensor,False,False,True,False,[],,8000.0,404.78596811858097,269.85187722939213,-42.24904957857251,100.00677108765113
calibration,1,32,32,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.93646240234375,150.02481079101562,0.16595366597175598,25,2,False,False,9.975391560302494,53.12497969892618,LocationSensor,False,False,True,False,[],,884.4724703829825,8000.0,90.23857835229948,39.70691719066255,100.04964447021949
calibration,1,32,32,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9364929199219,49.97516632080078,0.15093424916267395,35,2,False,False,9.975368478249726,306.8750421709945,LocationSensor,False,False,True,False,[],,8000.0,884.4930509628357,269.76159591968144,-39.70674896826637,100.04964447021949
calibration,1,33,33,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9080505371094,150.05538940429688,0.165970578789711,25,2,False,False,9.945035676351129,55.660511252035924,LocationSensor,False,False,True,False,[],,1336.0579991467675,8000.0,90.36494415079078,37.23996445186458,100.11079406738746
calibration,1,33,33,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9080810546875,49.94459533691406,0.15339484810829163,35,2,False,False,9.945020136102304,304.33952213283777,LocationSensor,False,False,True,False,[],,8000.0,1336.0762127535263,269.6352302929012,-37.23981187809329,100.11079406738746
calibration,1,34,34,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.8738708496094,150.09524536132812,0.1672307848930359,25,2,False,False,9.905557683183229,58.13266329796404,LocationSensor,False,False,True,False,[],,1755.4824702454835,8000.0,90.52975086124118,34.869239609205266,100.19049453735352
