map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
ALL,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.27610810994401774,0.20406689162069602,0.05390705605198199,0.007889539300646042
open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.27189007866571513,0.1721371004065852,0.049752547077998824,0.0024976246706133486
harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.335436072355577,0.2636234156440722,0.060129469668920646,0.009977035003609476
peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.22099817881076098,0.13866037189363145,0.05183915140902653,0.0045497834039966295
ALL,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.26473632211615145,0.1705805319165697,0.05495158284777695,0.009989131742131119
open_water,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.2842663906492997,0.1424543666174723,0.05027134425264621,0.004073890538553085
harbor_cove,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.3049301199746246,0.1998886706249181,0.06157953198762458,0.013660193730904035
peninsula_passage,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.20501245572453,0.14656234582687264,0.053003872303060105,0.005150035196506208
