system,target_motion_mode,map_kind,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,n,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
single,static,open_water,anomaly_upper_tail,0.9,0.5,10,47.0,15.152557539900648,155.83333333333334,55.188817305279834,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6254990925589836,0.14524049164190872,31.859735828517803,7.619035080691139,189.5,59.39402326833905,0.0038231069880970856,0.0017075972787769453,0.0038231069880970856,0.0017075972787769453,8.216472231086165,0.7362177793507807,0.0,0.0,0.28618569434066665,0.10778178105940787,0.04904198804226749,0.004197092477226794
single,static,harbor_cove,anomaly_upper_tail,0.9,0.5,10,31.7,12.345444503945576,113.66666666666667,28.476110845564726,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6162725225225225,0.1417280733332576,36.394270765351195,8.514572219433722,164.2,65.70357676717455,0.006846159579428251,0.004399524349467487,0.006846159579428251,0.004399524349467487,5.978156795115188,0.7161689256852639,0.0,0.0,0.314198529368808,0.2553766419348633,0.060508444218013935,0.008058003652773866
single,static,peninsula_passage,anomaly_upper_tail,0.9,0.5,10,57.3,29.65821977125397,182.83333333333334,22.504937729801036,0.8333333333333333,0.22360679774997896,2.5,0.6708203932499369,0.6512144702842377,0.06335396701636398,48.770244082682524,7.169903974764923,205.7,32.98802813142974,0.003642259674562268,0.0016804551339199706,0.003642259674562268,0.0016804551339199706,3.7089973277412973,0.29447701888202565,0.0,0.0,0.29192077434675584,0.12853164776237272,0.04978845468463121,0.005689533152401862
single,static,open_water,anomaly_upper_tail,0.9,0.75,10,47.9,16.145897311701198,150.0,61.75354240851289,0.7666666666666666,0.21343747458109497,2.3,0.6403124237432849,0.6466424682395644,0.15728020993293038,33.18922011790504,4.818059631859128,204.0,58.90161288114274,0.003557148639364416,0.0017233296304529791,0.003557148639364416,0.0017233296304529791,7.586886864558108,0.3596630643878614,0.0,0.0,0.2946845076873866,0.11524484622425134,0.05011489401345811,0.0034468387708224387
single,static,harbor_cove,anomaly_upper_tail,0.9,0.75,10,31.6,11.42978564978364,108.2,30.655505215213793,0.8,0.22110831935702666,2.4,0.66332495807108,0.6322635135135135,0.15390182215870343,33.07637835733657,7.372116562076381,174.1,69.3735540389852,0.006267999801863042,0.004696578479721002,0.006267999801863042,0.004696578479721002,5.566619204785582,0.9167985519706492,0.0,0.0,0.30827024712473633,0.2658728055727856,0.061218283139908916,0.008978957451635655
single,static,peninsula_passage,anomaly_upper_tail,0.9,0.75,10,56.9,29.23850201361212,193.75,19.253246479490155,0.7666666666666667,0.21343747458109497,2.3,0.6403124237432849,0.6751937984496124,0.06751547854646943,46.25359949069727,7.3258435892733145,221.5,25.722558193150228,0.003384838618286027,0.0017186322024439209,0.003384838618286027,0.0017186322024439209,3.721897583856214,0.29643798414780476,0.0,0.0,0.2837812394630349,0.11717216605515152,0.05009305898106996,0.005743263217915766
single,static,open_water,anomaly_upper_tail,0.9,1.25,10,49.1,16.543578814754685,127.4,45.758496478796154,0.8333333333333333,0.16666666666666669,2.5,0.5,0.577858439201452,0.13551442921873846,38.332189457149,5.922002738109675,183.7,64.93542946650926,0.0048534960584850845,0.0018932214155551943,0.0048534960584850845,0.0018932214155551943,8.151942486445053,0.7172970335043809,0.0,0.0,0.3060050469738186,0.11792971010111157,0.05212790795567847,0.005096752185487166
single,static,harbor_cove,anomaly_upper_tail,0.9,1.25,10,31.3,12.066896867049126,123.14285714285714,50.79490573846547,0.9,0.1527525231651947,2.7,0.45825756949558405,0.6051801801801802,0.1566234175185354,34.32435061352324,8.358585251294114,158.2,68.36490327646197,0.0067072303186311525,0.004528219829108438,0.0067072303186311525,0.004528219829108438,5.882402213626861,0.8042096339952199,0.0,0.0,0.30827024712473633,0.2658728055727856,0.06240751136973823,0.009264001982559032
single,static,peninsula_passage,anomaly_upper_tail,0.9,1.25,10,56.4,28.632848269077247,171.0,8.0,0.7,0.17950549357115014,2.1,0.5385164807134505,0.6748320413436693,0.06871822790738011,50.727665602476684,8.001357724213591,226.2,27.830918058878332,0.003281480275559516,0.0016628315839248143,0.003281480275559516,0.0016628315839248143,3.6379277056128694,0.18602543723493764,0.0,0.0,0.2749549237122586,0.13253660298056344,0.05048419787201508,0.0058612278877271246
